Mnemonic,Long Label
JSRTR@EG4.Q.FGBA1,"European Group of 4, Index, Retail Sales, Real (Volume), Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 4"
PX%@AS.Q.FGI,"Asia, NIA Exports Deflator, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 16 out of 27"
MBROAD@ADVXU.Q.FGI,"Advanced Economies Excluding USA (ADVXU), Broad Money Supply, Period End, lcu, Unit - Index, Data edge: 2017Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 29 out of 31"
M3@SS.Q.FGI,"Sub-Saharan Africa, Money Supply M3, Period End, lcu, Billions - Index, Data edge: 2017Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 47"
RU@WEHEM.Q.FGBA1,"Western Hemisphere, Unemployment Rate, Unit - Percentage, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 44"
PSHGSAV@EMU11.Q.FGBA1,"Eurozone, 1999-2000, Fiscal Balance: Overall, % of GDP, general government, Unit - Percentage, Data edge: 2018Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 11"
JGDP$@ADV.Q.FGBA1,"Advanced economies, Nominal Gross Domestic Product Index, US$, Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 32"
MR$%@WORXC.Q.FGI,"World Excluding China, Real $ NIA Imports of Goods & Non-Factor Services, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 101 out of 203"
PGDP%Q@WOR.Q.FGBA1,"World, Gross Domestic Product Deflator, Quarter-on-Quarter Percent Change, SAAR, Unit - Percent change on previous period, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 204"
M2%Q@WORXC.Q.FGI,"World Excluding China, Growth Rate, Money Supply M2, Period End, Quarter-on-Quarter, SAAR, Percent Change, lcu, Unit - Percent change on previous period, Data edge: 2016Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 96 out of 203"
IIE@EMEA.Q.FGI,"EMEA (Europe, Middle East and Africa), Nominal Change in Inventory, euro, Billions - Euro, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 63 out of 120"
WPI@AP.Q.FGI,"Asia-Pacific, Wholesale-Producer Price Index, LCU basus, Unit - Index - 2015, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 16 out of 40"
GDPE%Q@AF.Q.FGI,"Africa, Nominal GDP in Euros, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 22 out of 54"
GDD$@XOECD.Q.FGI,"Non-OECD Countries, Nominal Gross Domestic Demand (Absorption), US$, Billions - U.S. Dollar, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 58 out of 172"
IIR$@LC.Q.FGI,"Latin America and Caribbean, Real Change in Inventory, US$, Billions - U.S. Dollar - 2015, Data edge: 2016Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 11 out of 41"
GC$@NAF.Q.FGI,"NAFTA, Nominal Government Consumption, US$, Billions - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 3 out of 3"
PSHBPMG@ADV.Q.FGI,"Advanced economies, BOP Goods Imports, % of GDP, Unit - Percentage, Data edge: NA, Data source: IHS Markit, Updated monthly: last update 18 November 2019 Countries in aggregate: 28 out of 32"
M1$@APAC.Q.FGBA1,"Asia-Pacific, Money Supply M1, Period End, US$, Billions - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 40"
GSAVE@G7.Q.FGBA1,"G7, Fiscal Balance: Overall (Government Savings), in euro, general government, Billions - Euro, Data edge: 2018Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 7"
RMSDIFUSA@NOA.Q.FGI,"North Africa, Short-Term Interest Rate Differential With USA, Unit - Percentage, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 7"
BPXG$@APX3.Q.FGI,"Asia-Pacific Excluding Japan, China, India, BOP Goods Exports, US$, Billions - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 9 out of 37"
ME%@LAM.Q.FGI,"Latin America plus Mexico, Nominal NIA Imports in Euros, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 12 out of 20"
IIR$@EMU11.Q.FGBA1,"Eurozone, 1999-2000, Real Change in Inventory, US$, Billions - U.S. Dollar - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 11"
BPCA$@APEC.Q.FGBA1,"Asia-Pacific Economic Cooperation, BOP Current Account Balance, US$, Billions - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 21"
GDPP$@NAFXM.Q.FGBA1,"NAFTA Excluding Mexico, Nominal Gross Domestic Product, PPP$, Billions - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 2"
M1$@AS.Q.FGI,"Asia, Money Supply M1, Period End, US$, Billions - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 16 out of 27"
PSHBPCA@AS.Q.FGI,"Asia, Current Account Balance as a % of GDP, Unit - Percentage, Data edge: NA, Data source: IHS Markit, Updated monthly: last update 18 November 2019 Countries in aggregate: 8 out of 27"
PGDP@EME.Q.FGI,"Emerging Europe, Deflator: Gross Domestic Product, lcu, Unit - Index, Data edge: 2017Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 17 out of 30"
M1%@MENXI.Q.FGI,"Middle East and North Africa Excluding Israel, Growth Rate, Money Supply M1, Period End, Year-on-Year Percent Change, lcu, Unit - Percent change year ago, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 13 out of 20"
M3%@APXGC.Q.FGI,"Asia-Pacific Excluding Greater China, Growth Rate, Money Supply M3, Period End, Year-on-Year Percent Change, lcu, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 8 out of 36"
WPIE@MENOX.Q.FGI,"Middle East & North Africa Oil Exporters, Wholesale-Producer Price Index, euro basis, Unit - Index - 2015, Data edge: 2018Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 6 out of 15"
PSHGSAV@EUR.Q.FGI,"Europe, Fiscal Balance: Overall, % of GDP, general government, Unit - Percentage, Data edge: NA, Data source: IHS Markit, Updated monthly: last update 18 November 2019 Countries in aggregate: 31 out of 41"
RXYENEND@NAF.Q.FGBA1,"NAFTA, Exchange Rate, LCU per yen, Period End, Unit - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 3"
PSHBPMG@MENXI.Q.FGI,"Middle East and North Africa Excluding Israel, BOP Goods Imports, % of GDP, Unit - Percentage, Data edge: NA, Data source: IHS Markit, Updated monthly: last update 18 November 2019 Countries in aggregate: 8 out of 20"
GDDR$%@OECD.Q.FGBA1,"OECD: Organization for Economic Cooperation and Development, Real $ Gross Domestic Demand, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 32"
XRE@GCHN.Q.FGI,"Greater China, Real NIA Exports of Goods & Non-Factor Services, euro, Billions - Euro - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 3 out of 4"
CUX$@LAXB.Q.FGI,"Latin America Excluding Brazil, Nominal Customs Clearance Exports: Total, US$, Billions - U.S. Dollar, Data edge: 2019Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 6 out of 18"
XNETE@EME.Q.FGI,"Emerging Europe, Nominal NIA Net Exports, euro, Billions - Euro, Data edge: 2019Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 17 out of 30"
MRE@NEAS.Q.FGBA1,"North East Asia, Real NIA Imports of Goods & Non-Factor Services, euro, Billions - Euro - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 8"
MR%@EUN.Q.FGBA1,"EU: European Union, Real NIA Imports of Goods & Non-Factor Services, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 28"
NLF%@NAFXM.Q.FGBA1,"NAFTA Excluding Mexico, Labor Force, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 2"
BPMG$@EMU11.Q.FGI,"Eurozone, 1999-2000, BOP Goods Imports, US$, Billions - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 11 out of 11"
MBROAD$%@EMUXG.Q.FGBA1,"Eurozone Excluding Greece, Growth Rate, Broad Money Supply, Period End, Year-on-Year Percent Change, US$, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 18"
PME@WOROX.Q.FGBA1,"World Oil Exporters, Deflator: NIA Imports of Goods & Non-Factor Services, euro, Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 38"
PGDD$@EUN.Q.FGBA1,"EU: European Union, Deflator: Gross Domestic Demand (Absorption), US$, Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 28"
M$%Q@APX3.Q.FGI,"Asia-Pacific Excluding Japan, China, India, Nominal NIA Imports in U.S. Dollars, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 15 out of 37"
CPI@EMG.Q.FGI,"Emerging Markets, Consumer Price Index, Unit - Index - 2015, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 49 out of 53"
MR$%Q@NAFXM.Q.FGI,"NAFTA Excluding Mexico, Real $ NIA Imports of Goods & Non-Factor Services, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 2 out of 2"
BPMG$%Q@APXJ.Q.FGI,"Asia-Pacific Excluding Japan, BOP Goods Imports, US$, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 11 out of 39"
CR$NP%@ADV.Q.FGBA1,"Advanced economies, Growth Rate: Real Private Consumption Per Capita, Unit - Percentage, Data edge: 2018Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 32"
MBROAD$@LAM.Q.FGI,"Latin America plus Mexico, Broad Money Supply, Period End, US$, Billions - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 12 out of 20"
PM$@LA.Q.FGI,"Latin America, Deflator: NIA Imports of Goods & Non-Factor Services, US$, Unit - Index - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 11 out of 19"
C$%@AMERS.Q.FGBA1,"Americas, Nominal Private Consumption in U.S. Dollars, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 44"
JSRT%@AP.Q.FGBA1,"Asia-Pacific, Growth Rate, Nominal Retail Sales Index, LCU, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 40"
WPI$%@CEB.Q.FGI,"Central Europe and Balkans, Wholesale-Producer Price Index, Dollar Basis, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 13 out of 19"
XR%Q@ADVXU.Q.FGI,"Advanced Economies Excluding USA (ADVXU), Real NIA Exports of Goods & Non-Factor Services, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 30 out of 31"
BPXG$%@WEU.Q.FGI,"Western Europe, BOP Goods Exports, US$, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 19 out of 22"
GDSE@G8.Q.FGBA1,"G-8, Nominal Gross Domestic Saving, euro, Billions - Euro, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 8"
CPI$%@EMEA.Q.FGBA1,"EMEA (Europe, Middle East and Africa), Consumer Price Index, Dollar Basis, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 120"
GDDRE@EUN.Q.FGBA1,"EU: European Union, Real Gross Domestic Demand (Absorption), euro, Billions - Euro - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 28"
GDP$%@EMU11.Q.FGI,"Eurozone, 1999-2000, Nominal GDP in U.S. Dollars, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 11 out of 11"
PX$@APXGC.Q.FGI,"Asia-Pacific Excluding Greater China, Deflator: NIA Exports of Goods & Non-Factor Services, US$, Unit - Index - 2015, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 15 out of 36"
C$NP@WORHI.Q.FGBA1,"World High-Income (percapita income > $5000), Nominal Consumption Per Capita, US$, Unit - U.S. Dollar, Data edge: 2018Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 65"
M3$@EMU.Q.FGI,"Eurozone, Money Supply M3, Period End, US$, Billions - U.S. Dollar, Data edge: 2019Q3, Data source: IHS Markit, European Central Bank (ECB), Updated monthly: last update 15 November 2019 Countries in aggregate: 19 out of 19"
IRXG$%Q@EMEA.Q.FGI,"EMEA (Europe, Middle East and Africa), Growth Rate: International Reserves Excluding Gold, US$, Quarter-on-Quarter SAAR Percent Change, Unit - Percent change on previous period, Data edge: 2017Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 68 out of 120"
GDPE@LC.Q.FGI,"Latin America and Caribbean, Nominal GDP (Gross Domestic Product), euro, Billions - Euro, Data edge: 2019Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 12 out of 41"
GDP$@GCHN.Q.FGI,"Greater China, Nominal GDP (Gross Domestic Product), US$, Billions - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 3 out of 4"
POILR@NAF.Q.FGBA1,"NAFTA, Real Price of Crude Oil, LCU basis, Unit - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 3"
GCR@WORXU.Q.FGBA1,"World Excluding USA, Real Government Consumption, lcu, Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 6 out of 203"
RMSPREAD@EUN.Q.FGBA1,"EU: European Union, Interest Rate Spread: Long-Term minus Short-Term, Unit - Percentage, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 28"
RU@WOROX.Q.FGBA1,"World Oil Exporters, Unemployment Rate, Unit - Percentage, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 38"
U@EMUXG.Q.FGBA1,"Eurozone Excluding Greece, Unemployment, Millions - Persons, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 18"
PSHGEXP@AMERS.Q.FGBA1,"Americas, Current Expenditure, % of GDP, general government, Unit - Percentage, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 44"
JLPE@ADVXU.Q.FGBA1,"Advanced Economies Excluding USA (ADVXU), Index: Labor Productivity: GDP-to-Employed Labor Force, Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 6 out of 31"
IP@LAXB.Q.FGI,"Latin America Excluding Brazil, Industrial Production Index, Unit - Index - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 8 out of 18"
CGSAVE@AS.Q.FGI,"Asia, Fiscal Balance: Overall (Government Savings), in euro, central government, Billions - Euro, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 2 out of 27"
CR%Q@APXGC.Q.FGI,"Asia-Pacific Excluding Greater China, Real Private Consumption, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 12 out of 36"
M1$@APX3.Q.FGI,"Asia-Pacific Excluding Japan, China, India, Money Supply M1, Period End, US$, Billions - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 15 out of 37"
JRX@WOROM.Q.FGBA1,"World Oil Importers, Exchange Rate Index, Period Average (LCU per US$), Unit - Index - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 6 out of 165"
GDPR$%@AMERS.Q.FGI,"Americas, Real $ GDP, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 15 out of 44"
U@EG4.Q.FGBA1,"European Group of 4, Unemployment, Millions - Persons, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 4"
JSRT@EUN.Q.FGBA1,"EU: European Union, Index, Retail Sales, Nominal (SA - Value), Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 28"
JGDP$@NEAS.Q.FGBA1,"North East Asia, Nominal Gross Domestic Product Index, US$, Unit - Index - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 8"
M2$%@EMU11.Q.FGI,"Eurozone, 1999-2000, Growth Rate, Money Supply M2, Period End, Year-on-Year Percent Change, US$, Unit - Percent change year ago, Data edge: 2017Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 11 out of 11"
GDPR@GCC5.Q.FGI,"Gulf Cooperation Council Countries Excluding Saudi Arabia, Real GDP (Gross Domestic Product), lcu, Unit - Index - 2015, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 5 out of 5"
BPXG$@AF.Q.FGI,"Africa, BOP Goods Exports, US$, Billions - U.S. Dollar, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 7 out of 54"
IFR%Q@APXGC.Q.FGI,"Asia-Pacific Excluding Greater China, Real Fixed Investment, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 12 out of 36"
IIRE@BRIC.Q.FGI,"BRIC (Brazil, Russia, India & China), Real Change in Inventory, euro, Billions - Euro - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 4"
JRXR$@EUNXG.Q.FGBA1,"EU: European Union excluding U.K., Real exchange rate with US (US prices per local prices), Unit - U.S. Dollar - 2015, Data edge: 2019Q1, Data source: IHS Markit, Bureau of Economic Analysis (BEA), Updated quarterly: last update 26 August 2019"
PM%@GCC5.Q.FGI,"Gulf Cooperation Council Countries Excluding Saudi Arabia, NIA Imports Deflator, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 5 out of 5"
RMPOLICY@APXC.Q.FGI,"Asia-Pacific Excluding China, Interest Rate: Policy, Unit - Percentage, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 17 out of 39"
MRE@G7.Q.FGI,"G7, Real NIA Imports of Goods & Non-Factor Services, euro, Billions - Euro - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 7 out of 7"
IP%@AS.Q.FGBA1,"Asia, Growth Rate, Industrial Production, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 27"
BPMG$%@OECD.Q.FGBA1,"OECD: Organization for Economic Cooperation and Development, BOP Goods Imports, US$, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 32"
CE@APX3.Q.FGI,"Asia-Pacific Excluding Japan, China, India, Nominal Private Consumption, euro, Billions - Euro, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 12 out of 37"
IF$@NAFXM.Q.FGBA1,"NAFTA Excluding Mexico, Nominal Fixed Investment, US$, Billions - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 2"
JNLF@WOROX.Q.FGBA1,"World Oil Exporters, Index, Labor Force, Unit - Index, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 38"
GCR@GCC.Q.FGI,"Gulf Cooperation Council Countries, Real Government Consumption, lcu, Unit - Index - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 5 out of 6"
PX%Q@APAC.Q.FGI,"Asia-Pacific, NIA Exports Deflator, Quarter-on-Quarter, SAAR, Percent Change, Unit - Percent change on previous period, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 18 out of 40"
WPI$%Q@GCC.Q.FGI,"Gulf Cooperation Council Countries, Wholesale-Producer Price Index, US$ basis, Quarter-on-Quarter, SAAR, Percent Change, Unit - Percent change on previous period, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 3 out of 6"
IF$@AP.Q.FGI,"Asia-Pacific, Nominal Fixed Investment, US$, Billions - U.S. Dollar, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 15 out of 40"
M@ADV.Q.FGBA1,"Advanced economies, Nominal NIA Imports of Goods & Non-Factor Services, lcu, Unit - Index, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 32"
M@EUR.Q.FGBA1,"Europe, Nominal NIA Imports of Goods & Non-Factor Services, lcu, Unit - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 41"
PGDP@MEA.Q.FGI,"Middle East & Africa, Deflator: Gross Domestic Product, lcu, Unit - Index, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 32 out of 68"
BPMG$%@ASEAN.Q.FGI,"Association of South-East Asian Nations, BOP Goods Imports, US$, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 5 out of 10"
XR$%Q@ADV.Q.FGI,"Advanced economies, Real $ NIA Exports of Goods & Non-Factor Services, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 31 out of 32"
M1$%@APAC.Q.FGBA1,"Asia-Pacific, Growth Rate, Money Supply M1, Period End, Year-on-Year Percent Change, US$, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 40"
GDP$%Q@OECD.Q.FGI,"OECD: Organization for Economic Cooperation and Development, Nominal GDP in U.S. Dollars, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 32 out of 32"
GDDR$@AP.Q.FGBA1,"Asia-Pacific, Real Gross Domestic Demand (Absorption), US$, Billions - U.S. Dollar - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 40"
GDD$@AF.Q.FGI,"Africa, Nominal Gross Domestic Demand (Absorption), US$, Billions - U.S. Dollar, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 18 out of 54"
PX$@EMU.Q.FGBA1,"Eurozone, Deflator: NIA Exports of Goods & Non-Factor Services, US$, Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 19"
PSHGDS@EG4.Q.FGBA1,"European Group of 4, Nominal share of GDP: Gross Domestic Saving = Gross Domestic Saving Rate, Unit - Percentage, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 4"
GCE@GULF.Q.FGI,"Persian Gulf Countries, Nominal Government Consumption, euro, Billions - Euro, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 6 out of 8"
WPIE@NAFXM.Q.FGI,"NAFTA Excluding Mexico, Wholesale-Producer Price Index, euro basis, Unit - Index - 2015, Data edge: 2019Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 2 out of 2"
